121.140.122.206 - - [04/Jan/2024:07:35:08 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=5.7.2 HTTP/1.1" 500 211 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:08 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=5.7.2 HTTP/1.1" 200 35316 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:08 +0000] "GET /wp-includes/js/wp-emoji-release.min.js?ver=5.7.2 HTTP/1.1" 200 5013 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
43.200.198.231 - - [04/Jan/2024:07:35:09 +0000] "POST /wp-cron.php?doing_wp_cron=1704353709.0754649639129638671875 HTTP/1.1" 200 285 "-" "WordPress/6.4.2; http://docker.gguduck.com:8888"
43.200.198.231 - - [04/Jan/2024:07:35:08 +0000] "POST /wp-admin/upgrade.php?step=upgrade_db HTTP/1.1" 200 286 "http://docker.gguduck.com:8888/wp-admin/upgrade.php?step=upgrade_db" "WordPress/5.7.2; http://docker.gguduck.com:8888"
43.200.198.231 - - [04/Jan/2024:07:34:56 +0000] "POST /wp-cron.php?doing_wp_cron=1704353696.1450350284576416015625 HTTP/1.1" 200 192 "http://docker.gguduck.com:8888/wp-cron.php?doing_wp_cron=1704353696.1450350284576416015625" "WordPress/5.7.2; http://docker.gguduck.com:8888"
43.200.198.231 - - [04/Jan/2024:07:35:23 +0000] "POST /wp-cron.php?doing_wp_cron=1704353723.0153980255126953125000 HTTP/1.1" 200 285 "-" "WordPress/6.4.2; http://docker.gguduck.com:8888"
121.140.122.206 - - [04/Jan/2024:07:35:22 +0000] "GET /wp-admin/ HTTP/1.1" 200 23094 "http://docker.gguduck.com:8888/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/js/thickbox/thickbox.css?ver=6.4.2 HTTP/1.1" 200 1275 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/css/editor.min.css?ver=6.4.2 HTTP/1.1" 200 6210 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
